06/10/15 12:06:43:198 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/10/15 12:06:43:198 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | No Record found for the input fields in opm_getRecords
06/10/15 12:06:43:198 | [WARN] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 1852 | Failed in getting list of keys in OPMGetKeyList
06/10/15 12:06:43:198 | [WARN] |  | ASU | OPM | IMSLibHelper |  |  | 1852 | Failed in getting buddy groupList in getBuddyClients
06/10/15 12:06:43:198 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/10/15 12:06:43:198 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | No Record found for the input fields in opm_getValueForKey
06/10/15 12:06:43:198 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 1852 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:BuddyGroup key:0
06/10/15 12:06:43:199 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/10/15 12:06:43:199 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Successfully updated opm.db for fields domain:IMSLib subdomain:BuddyGroup key:0 in opm_setValueForKey
06/10/15 12:06:43:199 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/10/15 12:06:43:199 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | No Record found for the input fields in opm_getValueForKey
06/10/15 12:06:43:199 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 1852 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:CSServiceMap key:CreativeCloud_v1_8
06/10/15 12:06:43:199 | [WARN] |  | ASU | OPM | IMSLibHelper |  |  | 1852 | Failed in fetching default user id for the service, while processing fetchDefaultUserGUIDForClientID
06/10/15 12:06:43:199 | [INFO] |  | ASU | OPM | IMSLib |  |  | 1852 | Not duplicating the DUC entry - fetchDefaultUserGUIDForClientID failed in IMS_registerClientToGroup
06/10/15 12:06:43:199 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | Registered Client to group successfully!
06/10/15 12:06:43:201 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | Performing fetch default user for clientID...
06/10/15 12:06:43:201 | [INFO] |  | ASU | OPM | IMSLib |  |  | 1852 | Performing fetchDefaultUserInfoForClientId...
